sample,t,state,true,euler,rk4,solve_ivp
0,0,dx,0.18615016,0.18615016,0.18615016,0.18615016
0,0,dy,0.03166038,0.03166038,0.03166038,0.03166038
0,0,psi,-3.0148304,-3.0148304,-3.0148304,-3.0148304
0,0,delta,-0.08232925,-0.08232925,-0.08232925,-0.08232925
0,0,v,-2.6207607,-2.6207607,-2.6207607,-2.6207607
0,0,beta,-2.4361134,-2.4361134,-2.4361134,-2.4361134
0,0,omega,0.00024010913,0.00024010913,0.00024010913,0.00024010913
0,1,dx,0.18520015,0.15674435,0.16423382,0.16748463
0,1,dy,0.031507872,-0.00063797086,0.042518605,0.045948975
0,1,psi,-3.0139296,-3.0148263,-3.0243266,-3.0246716
0,1,delta,-0.073158145,-0.10055763,-0.084401,-0.098716825
0,1,v,-2.388197,-2.6451066,-2.636115,-2.644082
0,1,beta,0.101773866,-4.6773033,-6.0946646,-6.10129
0,1,omega,0.0028269244,-0.7869914,-1.3611118,-1.4303468
0,2,dx,0.18366633,0.14964019,0.14086556,0.17282234
0,2,dy,0.031320244,0.042870976,0.042869266,0.03636134
0,2,psi,-3.0141537,-3.027943,-3.0709457,-3.074749
0,2,delta,-0.08652677,-0.08647274,-0.08765823,-0.084697545
0,2,v,-2.2094944,-2.6514695,-2.6522605,-2.6504848
0,2,beta,0.005555996,-8.95429,-15.244082,-15.262045
0,2,omega,-0.00040351352,-2.4887025,-4.7867403,-5.1256003
0,3,dx,0.18158661,0.11277645,0.13921031,0.17239541
0,3,dy,0.031066675,0.018500427,0.03300689,0.041647058
0,3,psi,-3.014468,-3.0694213,3.0704072,3.0569618
0,3,delta,-0.10472526,-0.1070721,-0.11197369,-0.10502029
0,3,v,-2.0340872,-2.6773973,-2.6631825,-2.6759684
0,3,beta,-0.02169801,-17.15517,-37.940296,-38.03066
0,3,omega,-0.000662332,-5.649973,-13.688839,-14.51018
0,4,dx,0.1789612,0.10409668,0.16160026,0.17370361
0,4,dy,0.030751854,0.062271416,0.028806755,0.040359072
0,4,psi,-3.0149565,3.1195977,2.6816719,2.6453135
0,4,delta,-0.09264761,-0.13510367,-0.11671074,-0.13317981
0,4,v,-1.8585649,-2.6733136,-2.650206,-2.6719394
0,4,beta,-0.027720243,-32.726128,-94.53036,-94.44785
0,4,omega,-0.0011628513,-11.921936,-36.65071,-38.622192
0,5,dx,0.17579527,0.11462702,0.16734472,0.17814864
0,5,dy,0.030372724,0.018978458,0.0013925713,0.036575977
0,5,psi,-3.0155041,2.9208987,1.6599052,1.5668274
0,5,delta,-0.09605342,-0.11654619,-0.11006626,-0.11553647
0,5,v,-1.6858286,-2.6514444,-2.6389854,-2.6505556
0,5,beta,-0.021157892,-62.488434,-236.83273,-235.62509
0,5,omega,-0.0013326581,-24.304464,-95.41955,-100.32085
0,6,dx,0.17209539,0.15848538,0.13905635,0.17740667
0,6,dy,0.029938266,0.024388164,-0.002055023,0.03776487
0,6,psi,-3.0163445,2.5158246,-0.9821758,-1.2183434
0,6,delta,-0.1112875,-0.12181471,-0.124435484,-0.120959
0,6,v,-1.5109166,-2.6508722,-2.650393,-2.6501772
0,6,beta,-0.0331205,-119.82924,-593.3788,-590.0828
0,6,omega,-0.002173476,-48.214745,-245.63815,-258.25775
0,7,dx,0.16787249,0.17952372,0.12993613,0.17567112
0,7,dy,0.029452357,-0.014462408,0.019721717,0.049903248
0,7,psi,-3.0174546,1.7122452,-1.462498,-2.0737965
0,7,delta,-0.104739614,-0.14528464,-0.13114633,-0.14442714
0,7,v,-1.3451465,-2.6742597,-2.6551416,-2.6735647
0,7,beta,-0.040558428,-229.83139,-1479.8474,-1471.6805
0,7,omega,-0.0029478772,-94.61107,-626.8641,-659.41077
0,8,dx,0.16313995,0.19496071,0.13333797,0.16923894
0,8,dy,0.028913163,0.027349953,-0.0012375545,0.053369936
0,8,psi,-3.018657,0.13539386,0.13776278,-1.3935895
0,8,delta,-0.12035176,-0.13523638,-0.13814805,-0.13437673
0,8,v,-1.1786593,-2.6603694,-2.6551101,-2.6596792
0,8,beta,-0.038454026,-438.96082,-3694.0132,-3663.8828
0,8,omega,-0.0032128578,-183.98102,-1598.2372,-1677.8058
0,9,dx,0.15794891,0.17091312,0.13571517,0.17492118
0,9,dy,0.028326806,-0.009901941,-0.004874382,0.06187127
0,9,psi,-3.0199428,-2.9309566,0.20573401,2.627887
0,9,delta,-0.12086152,-0.15928808,-0.15057993,-0.15825175
0,9,v,-1.0278609,-2.6741967,-2.6526132,-2.6733313
0,9,beta,-0.038639106,-840.4945,-9208.092,-9120.71
0,9,omega,-0.0034525045,-357.25415,-4066.6035,-4265.88
1,0,dx,0.18520015,0.18520015,0.18520015,0.18520015
1,0,dy,0.031507872,0.031507872,0.031507872,0.031507872
1,0,psi,-3.0139296,-3.0139296,-3.0139296,-3.0139296
1,0,delta,-0.073158145,-0.073158145,-0.073158145,-0.073158145
1,0,v,-2.388197,-2.388197,-2.388197,-2.388197
1,0,beta,0.101773866,0.101773866,0.101773866,0.101773866
1,0,omega,0.0028269244,0.0028269244,0.0028269244,0.0028269244
1,1,dx,0.18366633,0.22396037,0.22283818,0.22279204
1,1,dy,0.031320244,0.040560305,0.04442639,0.04445091
1,1,psi,-3.0141537,-3.0138824,-3.0219812,-3.0218608
1,1,delta,-0.08652677,-0.059073254,-0.076415375,-0.059334736
1,1,v,-2.2094944,-2.3945599,-2.4043424,-2.3947074
